Vehicle Type,Vehicle Model,Action,Date,Time,Parking Lot ID,Latitude,Longitude
Van,Nissan,Left,2024-03-30,20:13,1020,40.70976721140064,-73.94969810411048
SUV,BMW,Parked,2024-03-27,08:45,1004,40.768423302651215,-73.98363703976207
Van,Toyota,Searching,2024-04-01,00:50,1010,40.74401524937396,-73.92282179172791
Motorcycle,Chevrolet,Left,2024-03-25,12:12,1003,40.71220382348448,-73.9237552705058
SUV,BMW,Searching,2024-03-30,03:00,1009,40.74951769101113,-73.99482177041746
Motorcycle,Tesla,Searching,2024-03-28,16:39,1013,40.703438852111525,-73.97027514941077
Car,Ford,Parked,2024-03-25,01:27,1018,40.79093204020788,-73.98991216901833
Car,Chevrolet,Left,2024-03-31,07:38,1015,40.72587799816,-73.99151595056225
SUV,Ford,Parked,2024-04-02,01:53,1004,40.7662522284354,-74.01631130526454
SUV,Honda,Left,2024-03-28,21:02,1015,40.731171107608944,-73.959043566602
Van,Ford,Left,2024-03-28,17:11,1002,40.75200680211778,-73.96973209767711
Van,Honda,Left,2024-03-30,00:53,1015,40.75467102793433,-74.01485212487499
Motorcycle,Nissan,Left,2024-03-27,11:04,1008,40.71848544555255,-73.99213535357633
SUV,Chevrolet,Left,2024-03-30,16:47,1008,40.79695846277645,-73.92917341140334
Car,Chevrolet,Searching,2024-03-31,14:22,1017,40.77751328233611,-73.9960438109333
Van,Toyota,Parked,2024-04-03,14:36,1012,40.79394989415642,-74.00551051279088
Van,Tesla,Searching,2024-04-03,20:13,1019,40.78948273504276,-73.97105472397224
Car,Honda,Left,2024-03-27,01:10,1010,40.75978999788111,-73.92143495458895
Van,Toyota,Parked,2024-03-31,18:38,1009,40.79218742350231,-73.99579447284884
Motorcycle,Ford,Left,2024-03-27,05:59,1005,40.7088492502052,-73.9527864452594
SUV,Ford,Parked,2024-03-26,01:37,1006,40.71959828624192,-73.94383803846713
Car,Toyota,Searching,2024-04-03,17:33,1020,40.70452272889106,-73.99623624560076
SUV,Chevrolet,Parked,2024-03-28,17:29,1002,40.73253303307633,-73.94717836513881
Van,Ford,Parked,2024-04-01,14:26,1013,40.73886772896895,-73.98322168672807
Van,Nissan,Parked,2024-04-02,18:33,1006,40.727134903177394,-73.95676941694065
Car,Nissan,Parked,2024-03-31,19:56,1005,40.78287375091519,-73.95664702892391
Motorcycle,Toyota,Parked,2024-03-25,05:32,1001,40.73567533266936,-73.96642253159253
Truck,Honda,Left,2024-03-27,23:14,1006,40.72809345096874,-74.01097102299455
Car,Honda,Parked,2024-04-02,22:41,1006,40.75426960831582,-73.93646975044108
Truck,Toyota,Parked,2024-03-25,18:16,1016,40.71409242249748,-73.98792199350282
Truck,Honda,Searching,2024-04-02,04:28,1004,40.7802196980754,-74.00134814896
Motorcycle,Chevrolet,Parked,2024-04-01,03:09,1011,40.70745506436798,-74.01592248584451
Truck,Chevrolet,Searching,2024-03-25,23:16,1009,40.79868869366005,-73.96091070568117
Truck,Honda,Left,2024-03-30,09:16,1003,40.77722447692967,-73.95224356381577
Motorcycle,Nissan,Parked,2024-03-29,19:23,1019,40.71987156815342,-74.0183412171072
Truck,Honda,Searching,2024-03-30,04:33,1008,40.70055221171236,-73.96879069417007
Truck,Chevrolet,Searching,2024-04-03,05:52,1005,40.78154614284548,-73.99735042248021
Truck,BMW,Left,2024-03-29,01:12,1004,40.77068573438476,-73.95548272095905
Car,Tesla,Parked,2024-03-30,10:42,1006,40.772900716804095,-74.0025633570995
Car,Ford,Parked,2024-03-29,15:10,1002,40.777127034668595,-73.95090622618976
Car,BMW,Searching,2024-03-29,18:46,1020,40.70740446517341,-73.98132646536995
Motorcycle,Honda,Parked,2024-03-28,22:54,1011,40.73584657285443,-73.92632700112632
Van,Nissan,Searching,2024-03-27,15:30,1004,40.711586905952515,-74.0062479055854
Truck,Toyota,Parked,2024-03-27,10:53,1015,40.786310342587555,-73.98589336489498
Truck,Honda,Searching,2024-03-28,15:07,1006,40.76232981268276,-74.00865264787593
Motorcycle,Nissan,Parked,2024-04-02,03:39,1017,40.73308980248527,-73.92753063817214
Truck,Tesla,Left,2024-03-26,03:55,1006,40.7063558350286,-73.9322660646619
Car,Honda,Parked,2024-04-02,02:31,1019,40.73109823217157,-73.99420583722848
Van,Chevrolet,Parked,2024-03-25,02:26,1002,40.73251833220267,-73.95400159539658
SUV,Toyota,Left,2024-03-25,17:57,1015,40.7729606178338,-73.93827777997988
Truck,Nissan,Parked,2024-03-29,18:18,1011,40.76375574713552,-73.96447991884006
Car,Nissan,Left,2024-03-30,20:04,1008,40.78872127425763,-73.9670349421644
SUV,Nissan,Parked,2024-03-30,17:27,1019,40.747221492516196,-73.99581477090996
Van,Tesla,Searching,2024-03-27,09:21,1013,40.711959424593836,-74.0106897232194
SUV,Honda,Searching,2024-03-31,20:05,1012,40.7713244787223,-73.93027842420467
Car,Tesla,Parked,2024-04-02,00:04,1005,40.77607850486169,-73.92995819428367
SUV,Ford,Parked,2024-04-03,08:11,1006,40.75612771975695,-73.95668985427267
Motorcycle,Ford,Parked,2024-04-01,13:33,1004,40.777096717995455,-73.98609702089513
SUV,Honda,Searching,2024-03-30,16:13,1019,40.74937955963644,-73.98507904253873
Truck,Chevrolet,Parked,2024-04-01,12:26,1020,40.7522732829382,-73.94740443211298
Truck,Tesla,Searching,2024-03-29,08:25,1001,40.74275410183586,-73.93028897400474
Motorcycle,Toyota,Left,2024-04-01,14:56,1020,40.70254191267441,-73.93129135757349
Car,Nissan,Searching,2024-04-03,21:46,1017,40.71078914269933,-73.94201244541424
